,Tourist Sites,Near_T_Hub,Trans_Dist,Near_GP,GP_Dist,PostCode
89,PORTMORE,Ballinderry Rail Halt,4.17,Dr. BYRNE & PARTNERS                ,3.5,BT29 4LA
90,RAMS ISLAND,Glenavy Rail Halt,5.67,Dr. CHEUNG & PARTNERS               ,5.75,BT29 4LN
91,FINNEBROGUE HOUSE,Downpatrick Bus Station,3.39,Dr. BOYLE & PARTNERS                ,3.26,BT30 6BE
92,BALLYDUGAN HOUSE,Downpatrick Bus Station,2.24,Dr. CREANEY & PARTNER               ,2.62,BT30 6DE
93,BALLEE HOUSE,Downpatrick Bus Station,5.79,Dr. MURPHY & PARTNERS               ,4.13,BT30 7SF
94,RADEMON,Downpatrick Bus Station,8.89,Dr. TRAINOR & PARTNERS              ,1.78,BT30 9JU
95,CROSSGAR HOUSE (Tobar Mhuire),Downpatrick Bus Station,7.98,Dr. TRAINOR & PARTNERS              ,0.34,BT30 9JU
96,MYRA CASTLE,Downpatrick Bus Station,8.22,Dr. MCGILL & PARTNERS               ,3.72,BT30 9RG
97,DELAMONT,Downpatrick Bus Station,6.89,Dr. MCGILL & PARTNERS               ,2.26,BT30 9RG
98,BALLYTRIM,Downpatrick Bus Station,8.3,Dr. MCGILL & PARTNERS               ,2.02,BT30 9RG
99,KILLYLEAGH CASTLE,Downpatrick Bus Station,9.39,Dr. MCGILL & PARTNERS               ,0.41,BT30 9RG
100,RINGDUFFERIN,Downpatrick Bus Station,13.36,Dr. MCGILL & PARTNERS               ,4.27,BT30 9RG
101,BALLYDRAIN (MALONE GOLF CLUB),Dunmurry Rail Halt,2.5,Dr. DICK & PARTNERS                 ,2.29,BT43 6HB
102,WILMONT (SIR THOMAS AND LADY DIXON PARK),Dunmurry Rail Halt,1.77,Dr. DICK & PARTNERS                 ,1.55,BT43 6HB
103,OAK HILL,Dunmurry Rail Halt,0.98,Dr. DICK & PARTNERS                 ,0.8,BT43 6HB
104,BELVEDERE,Derriaghy Rail Halt,3.77,Dr. DICK & PARTNERS                 ,3.68,BT43 6HB
105,SEYMOUR HILL,Dunmurry Rail Halt,0.85,Dr. DICK & PARTNERS                 ,0.55,BT43 6HB
106,DRUMNASOLE HOUSE,Larne Rail Station,22.16,Dr. MCSPARRAN & PARTNERS            ,7.5,BT44 0TE
107,GARRON TOWER,Larne Rail Station,23.37,Dr. MCSPARRAN & PARTNERS            ,6.85,BT44 0TE
108,PORTGLENONE HOUSE,Ballymena Bus Station,12.05,Dr. BROWNE & PARTNERS               ,1.0,BT44 8AD
109,LISSANOURE,Ballymoney Rail Station,11.33,Dr. MCCURDY & PARTNERS              ,6.63,BT44 9LF
110,GREYABBEY HOUSE,Newtownards Bus Station,11.95,Dr. HUGHES & PARTNERS               ,4.47,BT22 2PY
111,BALLYWALTER PARK,Newtownards Bus Station,14.72,Dr. HUGHES & PARTNERS               ,1.22,BT22 2PY
112,MOUNT STEWART,Newtownards Bus Station,8.01,Dr. HUGHES & PARTNERS               ,7.29,BT22 2PY
113,CARROWDORE CASTLE,Newtownards Bus Station,10.23,Dr. HUGHES & PARTNERS               ,5.44,BT22 2PY
114,RUBANE,Comber Bus Station,17.48,Dr. FERRIS & PARTNERS               ,2.67,BT22 2SP
115,TYRELLA HOUSE,Newcastle Bus Station,8.34,Dr. GREER & PARTNERS                ,5.85,BT23 4AS
116,MOUNT PANTHER,Newcastle Bus Station,7.28,Dr. GREER & PARTNERS                ,1.58,BT23 4AS
117,SEAFORDE HOUSE,Downpatrick Bus Station,8.48,Dr. GREER & PARTNERS                ,3.35,BT23 4AS
118,ROWALLANE,Comber Bus Station,12.82,Dr. ROSS & PARTNERS                 ,1.68,BT24 7AD
